TM-NO,품명,중량,성형,소결,정형,가공,압입,밴딩,후처리
1360-00,MOTOR PULLEY,0.068,8092,8091,8090,,,,14138
1360-01,MOTOR PULLEY,0.068,,,16068,,,,15922
1361-00,BALL NUT PULLEY,0.393,8088,8087,8086,,,,
1361-01,BALL NUT PULLEY,0.393,8081,8080,8079,,,,21154
1361-02,BALL NUT PULLEY,0.483,18524,18525,18526,,,,18523
1361-03,BALL NUT PULLEY,0.483,,,,,,,21809
1464-00,PULLEY,0.077,6234,6233,,,,,10315
1464-01,PULLEY,0.076,14830,14831,14832,,,,19124
1510-00,PULLEY LARGE,0.243,6004,6003,,,,,
1510-01,PULLEY LARGE,0.217,11857,11858,11859,,,,14823
1510-02,PULLEY LARGE,0.237,15004,15005,15006,,,,15003
1695-00,MOTOR PULLEY,0.042,15174,15175,15176,,,,21254
1781-00,PULLEY,0.103,15520,15521,15522,,,,15519
1785-00,MOTOR PULLEY,0.058,14989,14990,14991,,,,14988
1786-00,BALL NUT PULLEY,0.54,14984,14985,14986,,,,15309
1883-00,SLIDE,0.215,16270,16271,16272,,,,16269
1903-00,PULLEY,0.052,19060,19061,19062,,,,19059
1914-00,MOTOR PULLEY,0.048,19836,19835,19837,,,,19834
1935-00,Driven Pulley,0.186,18828,18829,18830,,,,18827
1986-00,BELT PULLEY,0.292,21000,21001,21002,,,,20998
1987-00,BELT PULLEY,0.345,21008,21009,21010,,,,20999
2059-00,BELT PULLEY,0.510,20956,20957,20958,,,,20955
2202-00,PULLEY,0.145,22380,22381,22382,,,,22379
2206-00,BALL NUT PULLEY,0.116,22886,22887,22888,,,,22885
5001-00,PLATE 1-2-3-4 CLU BKG,0.865,5695,5694,5693,,,,10163
5004-00,PLATE LOW & REV CLU BKG,0.53,5679,5678,5677,,,,10153
5005-00,WHEEL-A/TRANS,0.64,5675,5674,5673,,,,10151
5006-00,PLATE 1-2-3-4 CLU BKG,0.635,5671,5670,5669,,,,10149
5009-00,PLATE LOW & REV CLU BKG,0.406,5659,5658,5657,,,,10141
5010-00,WHEEL-A/TRANS,0.522,5655,5654,5653,,,,10139
5013-00,CARRIER-REACTION,1.541,,5633,,,,,22185
5013-10,CARRIER-REACTION_Plate,0.585,5635,,,,,,
5013-20,CARRIER-REACTION_Cup,0.956,11349,,,,,,
5014-00,CARRIER-INPUT,0.802,,5625,,,,,22207
5014-10,CARRIER-INPUT_Plate,0.369,5627,,,,,,
5014-20,CARRIER-INPUT_Cup,0.433,11348,,,,,,
5015-00,CARRIER-REACTION,1.206,,5617,,,,,22222
5015-10,CARRIER-REACTION_Plate,0.501,5619,,,,,,
5015-20,CARRIER-REACTION_Cup,0.705,11347,,,,,,
5016-00,CARRIER-INPUT,0.689,,5609,,,,,22162
5016-10,CARRIER-INPUT_Plate,0.3,5611,,,,,,
5016-20,CARRIER-INPUT_Cup,0.389,11336,,,,,,
6004-00,CARRIER PALNET_반가공,1.126,,13518,,,,,22293
6004-01,CARRIER PALNET_완가공,1.126,,,,,,,22299
6004-10,CARRIER PLANET MID_Cup,0.84,21926,,,,,,
6004-20,CARRIER PLANET MID_Plate,0.286,21927,,,,,,
6007-00,CARRIER PALNET_반가공,1.233,,13471,,,,,22434
6007-01,CARRIER PALNET_완가공,1.233,,,,,,,23045
6007-10,CARRIER PLANET MID_Cup,0.92,21791,,,,,,
6007-20,CARRIER PLANET MID_Plate,0.313,21792,,,,,,
6009-00,PRESSURE PLATE,0.732,11820,11821,,,,,
6009-01A,PRESSURE PLATE,0.732,,,,,,,11815
6009-02A,PRESSURE PLATE,0.732,,,,,,,11823
6009-03A,PRESSURE PLATE,0.732,,,,,,,11824
6009-04A,PRESSURE PLATE,0.732,,,,,,,11825
6009-05A,PRESSURE PLATE,0.732,,,,,,,11826
6009-06A,PRESSURE PLATE,0.732,,,,,,,11827
6009-07A,PRESSURE PLATE,0.732,,,,,,,11828
6009-08A,PRESSURE PLATE,0.732,,,,,,,11830
6009-09A,PRESSURE PLATE,0.732,,,,,,,11832
6009-10A,PRESSURE PLATE,0.732,,,,,,,18839
6009-11A,PRESSURE PLATE,0.732,,,,,,,18840
6011-00,CARRIER PALNET,1.462,,11383,,,,,11390
6011-10,CARRIER PALNET_Plate,0.72,11381,,,,,,
6011-20,CARRIER PALNET_Cup,0.742,11382,,,,,,
6017-00,CARRIER PALNET_반가공,0.97,,22203,,,,,22221
6017-01,CARRIER PALNET_완가공,0.97,,,,,,,21461
6017-10,CARRIER PLANET_Cup,0.69,16586,,,,,,
6017-20,CARRIER PLANET_Plate,0.28,16587,,,,,,
6019-00,HOUSING GUIDE RING,0.525,23823,23824,23825,,,,22150
6020-00,CARRIER PALNET,1.58,,19271,,,,,22109
6020-10,CARRIER PALNET_Plate,0.79,19270,,,,,,
6020-20,CARRIER PALNET_Cup,0.79,19276,,,,,,
6023-00,CARRIER PALNET_반가공,1.03,,21301,,,,,22235
6023-10,CARRIER PLANET MID_Cup,0.75,21299,,,,,,
6026-00,CARRIER PLANET,1.656,,22720,,,,,23058
6026-10,CARRIER PLANET_Mid Cup,0.436,22724,,,,,,
6026-20,CARRIER PLANET_Rr Cup,0.77,22723,,,,,,
6026-30,CARRIER PLANET_Rr Plate,0.45,22722,,,,,,
6027-00,CARRIER PLANET,0.944,,22702,,,,,23057
6027-10,CARRIER PLANET_Mid Cup,0.506,22706,,,,,,
6027-20,CARRIER PLANET_Rr Cup,0.846,22705,,,,,,
6027-30,CARRIER PLANET_Rr Plate,0.438,22704,,,,,,
1691-00A,SHAFT SPLINE,0.0258,21359,21360,,,,,23548
