TM-NO,품명,중량,성형,소결,정형,가공,압입,밴딩,후처리,
009-00,PISTON,0.027,3001,3000,,,,,,
009-03,PISTON,0.027,,,,,,,11285,
009-04A,PISTON,0.027,,,,,,,13065,
014-00P,RETAINER GUIDE,0.012,,,,,,,11089,
016-00,RETAINER GUIDE,0.012,2997,2996,,,,,9240,
017-00,PISTON,0.068,2989,2988,,,,,,
017-02A,PISTON,0.068,,,,,,,11249,
044-04,ROD GUIDE ASS'Y,0.0357,2984,2983,2981,,2980,,9236,
044-05,ROD GUIDE ASS'Y,0.0357,2979,2974,2972,,2971,,9233,
044-06,ROD GUIDE ASS'Y,0.0357,2970,2969,2967,,2966,,9232,
044-07,ROD GUIDE ASS'Y,0.0357,2965,2964,2962,,2961,,9230,
046-00,ROD GUIDE ASS'Y,0.0357,2960,2959,2957,,2956,,,
051-00,PISTON,0.099,2952,2951,2950,,,,,
051-03A,PISTON,0.099,,,,,,,11239,
054-00,RETAINER GUIDE,0.0185,2946,2945,2944,,,,9226,
059-00,RETAINER GUIDE,0.032,2940,2939,2938,,,,9224,
060-00,"REB,RETAINER",0.01492,2934,2933,2930,,,,9223,
062-00,ROD GUIDE ASS'Y,0.097,2928,2927,2925,,2924,,,
062-01,ROD GUIDE ASS'Y,0.097,2923,2922,2920,,2915,,13949,
086-06,ROD GUIDE ASS'Y,0.15,2914,2913,2911,,2910,,,
086-07,ROD GUIDE ASS'Y,0.15,2909,2908,2906,,2905,,,
086-08,ROD GUIDE ASS'Y,0.15,2900,2899,2897,,2896,,12975,
089-00,BODY,0.0865,2895,2894,,,,,9213,
090-00,PISTON,0.0271,2889,2888,2887,,,,,
090-03A,PISTON,0.0271,,,,,,,11331,
1000-00,ROTOR,0.1327,5006,5005,,,,,9953,
1001-00,PISTON,0.0211,5001,5000,4999,,,,9952,
1002-00,BODY,0.0168,4996,4995,4994,,,,9951,
1003-00,ROD GUIDE,0.0395,4993,4992,4989,,,,,
1004-00,BODY,0.0475,4987,4986,4985,,,,9949,
1005-00,PISTON,0.0559,4984,4983,4982,,,,9948,
1006-00,PISTON,0.0413,4979,4978,4977,,,,9947,
1007-00,BODY,0.03,4974,4973,4972,,,,9946,
1008-00,ROD GUIDE,0.0235,4970,4969,4966,,,,9945,
1009-00,ROD GUIDE,0.038,4964,4963,4961,,,,9944,
1010-00,PISTON,0.077,4960,4959,4958,,,,9943,
1011-00,BODY,0.0703,4955,4954,4953,,,,9942,
1012-00,ROD GUIDE,0.258,4952,4951,4949,,,,9941,
1013-00,PISTON,0.1435,4948,4947,4946,,,,9940,
1014-00,BODY,0.169,4943,4942,4941,,,,9939,
1015-00,BODY,0.12,4939,4938,4937,,,,9938,
1016-00,"REB,RETAINER",0.0099,4935,4934,4933,,,,9937,
1017-00,"REB,RETAINER",0.0099,4931,4930,4929,,,,9936,
1018-00,PISTON,0.0425,4925,4924,4923,,,,9934,
1018-01,PISTON,0.0435,11585,11586,11587,,,,,
1018-01A,PISTON,0.0425,,,,,,,9935,
1018-10,PISTON,0.0425,4920,4919,4918,4917,,4914,9933,
1018-11,PISTON,0.0435,4913,4912,4911,11590,,4907,,
1019-00,BODY,0.0313,4906,4905,4904,,,,9931,
1019-01,BODY,0.0309,4901,4900,4899,,,,9930,
1020-00,ROD GUIDE,0.0975,4896,4895,4893,,,,9929,
1023-07,PISTON,0.029,4892,4891,4890,4889,,,9928,
1023-10,PISTON,0.029,4885,4884,4883,4882,,,9927,
1023-12,PISTON,0.029,4878,4877,4876,4875,,,,
1023-13,PISTON,0.029,4871,4870,4869,4868,,,9925,
1023-14,PISTON,0.029,4864,4863,4862,4861,,,9924,
1023-15,PISTON,0.029,4857,4856,4855,4854,,,9923,
1023-16,PISTON,0.029,4850,4849,4848,4847,,,9922,
1023-17,PISTON,0.029,4843,4842,4841,4840,,,9921,
1023-19,PISTON,0.03,12867,12868,12869,12870,,,12866,
1023-20,PISTON,0.03,16127,16128,16129,16130,,,16126,
1023-21,PISTON,0.03,16563,16564,16565,16566,,,16514,
1024-01,ROD GUIDE,0.08,19206,19207,19209,,,,19205,
1025-00,RACK STOPPER,0.0997,4832,4831,4830,,,,9919,
1027-00,ROD GUIDE ASS'Y,0.0945,19780,19781,19783,,19784,,21383,
1027-02,ROD GUIDE ASS'Y,0.0915,20264,23154,23156,,20268,,23152,
1030-00,ROD GUIDE ASS'Y,0.087,4816,4815,4813,,4812,,,
1030-01,ROD GUIDE ASS'Y,0.0873,4811,4810,4808,,4807,,,
1030-02,ROD GUIDE ASS'Y,0.083,19815,19816,19818,,19819,,23714,
1031-01,ROD GUIDE ASS'Y,0.0545,19772,19773,19775,,19776,,23569,
1032-00,SPROCKET,0.509,4249,4248,4247,,,,,
1033-00,PULLEY(F/IN JN PUMP DRV),0.473,4245,4244,4243,,,,,
1033-01,PULLEY(F/INJN PUMP DRV),0.467,4241,4240,4239,,,,,
1034-00,HUB,0.056,4237,4236,,,,,,
1034-01,HUB,0.07,4233,4232,,,,,,
